,Code,landline_cpoints,internet_cpoint,mobile_cpoints
0,ABW,2010.0,2010.0,0.0
1,AFG,0.0,0.0,2010.0
2,AGO,0.0,2015.0,2010.0
3,ALB,0.0,2010.0,2010.0
4,AND,2020.0,0.0,0.0
5,ARE,0.0,2010.0,2010.0
6,ARG,0.0,2010.0,2005.0
7,ARM,0.0,2010.0,2010.0
8,ASM,0.0,,
9,ATG,2015.0,2010.0,2005.0
10,AUS,2015.0,0.0,0.0
11,AUT,2005.0,0.0,0.0
12,AZE,2010.0,2010.0,2010.0
13,BDI,2010.0,2015.0,2015.0
14,BEL,0.0,2010.0,0.0
15,BEN,0.0,2015.0,2010.0
16,BFA,2015.0,0.0,2010.0
17,BGD,0.0,2015.0,2010.0
18,BGR,2015.0,2010.0,0.0
19,BHR,0.0,2010.0,0.0
20,BHS,2015.0,2010.0,0.0
21,BIH,0.0,2010.0,2010.0
22,BLR,2010.0,2010.0,2010.0
23,BLZ,2010.0,0.0,0.0
24,BMU,2015.0,0.0,0.0
25,BOL,0.0,2010.0,2010.0
26,BRA,0.0,2010.0,2010.0
27,BRB,0.0,0.0,0.0
28,BRN,0.0,2015.0,2005.0
29,BTN,0.0,2015.0,2010.0
30,BWA,0.0,2015.0,2010.0
31,CAF,2005.0,0.0,2010.0
32,CAN,2015.0,2010.0,2010.0
33,CHE,2015.0,2010.0,2010.0
34,CHL,0.0,2015.0,2010.0
35,CHN,0.0,2010.0,2010.0
36,CIV,0.0,2015.0,2010.0
37,CMR,2010.0,2015.0,2010.0
38,COD,0.0,0.0,2010.0
39,COG,0.0,2010.0,2010.0
40,COL,2010.0,2010.0,2005.0
41,COM,0.0,0.0,2010.0
42,CPV,2015.0,2010.0,2010.0
43,CRI,2010.0,2015.0,2010.0
44,CUB,2010.0,2015.0,2015.0
45,CUW,0.0,,0.0
46,CYM,2010.0,0.0,2005.0
47,CYP,2010.0,2010.0,0.0
48,CZE,2010.0,2010.0,0.0
49,DEU,2015.0,0.0,0.0
